SalesOrderNumber	OrderDate	OrderedProducts	EmployeeKey	OrderedQuantity	TotalPrice	TotalSales	TotalCost	TotalMargin
SO50208	2019-05-05	46	281	194	22077.93	94672.91	95004.31	-331.4
SO69501	2020-05-20	35	281	88	11887.04	35812.15	32714.84	3097.31
SO51163	2019-07-29	1	289	1	323.99	323.99	343.65	-19.66
SO57133	2019-11-19	9	295	26	7411.98	18144.63	18759.03	-614.4
SO53520	2019-09-13	42	295	122	17423.7	50866.84	61975.81	-11108.97
SO49496	2019-03-16	29	291	72	18723.2	43758.0	44577.02	-819.02
SO65173	2020-03-04	25	291	102	15610.34	65623.1	69330.28	-3707.18
SO53578	2019-09-23	9	282	53	2842.53	10037.77	10269.8	-232.03
SO49505	2019-03-19	1	292	1	22.79	22.79	15.67	7.12
SO46367	2018-06-20	20	282	30	16863.93	24278.01	24369.17	-91.16
SO51783	2019-08-18	43	282	265	17936.29	107930.05	98219.72	9710.33
SO50198	2019-05-02	2	282	3	2472.31	3701.77	3329.48	372.29
SO47403	2018-09-14	53	286	228	15038.12	54811.92	48206.41	6605.51
SO43662	2017-07-03	22	288	54	12955.48	28832.52	28793.66	38.86
SO49849	2019-04-12	36	286	183	11911.21	49349.55	44274.81	5074.74
SO51798	2019-08-19	1	282	1	953.63	953.63	1481.94	-528.31
SO67203	2020-04-01	2	290	5	713.8	1784.5	1804.71	-20.21
SO69565	2020-05-31	7	285	8	3130.98	3576.39	3680.67	-104.28
SO48035	2018-11-16	39	288	103	19214.93	52295.37	52769.9	-474.53
SO48087	2018-11-29	31	289	77	18659.03	47836.77	48368.8	-532.03
SO47427	2018-09-19	23	287	80	9815.72	34400.79	30709.14	3691.65
SO69557	2020-05-30	7	288	27	1606.45	2490.1	2052.78	437.32
SO61184	2020-01-05	44	287	208	17787.45	94588.02	97525.41	-2937.39
SO49162	2019-02-28	1	288	2	469.79	939.58	973.41	-33.83
SO63139	2020-02-04	7	291	19	187.41	402.01	391.35	10.66
SO51809	2019-08-20	52	281	217	15199.0	44062.26	39626.89	4435.37
SO49879	2019-04-25	49	291	248	15063.26	78423.09	69567.34	8855.75
SO58992	2019-12-15	11	287	34	3060.81	3768.0	3229.14	538.86
SO50217	2019-05-08	23	282	58	11189.24	32359.86	28844.91	3514.95
SO50284	2019-05-22	49	284	168	15130.96	44805.47	44453.27	352.2
SO47383	2018-09-09	14	291	32	1956.41	4493.55	4232.28	261.27
SO58913	2019-12-02	4	291	9	2837.96	8387.91	7590.41	797.5
SO57100	2019-11-15	8	291	32	303.84	1117.22	895.22	222.0
SO49502	2019-03-18	25	281	66	16250.07	41602.35	42319.26	-716.91
SO53613	2019-09-28	50	293	209	15231.66	43102.65	38498.98	4603.67
SO51788	2019-08-18	1	288	2	14.69	29.38	18.32	11.06
SO57135	2019-11-20	6	293	14	2904.55	5649.48	5115.0	534.48
SO69422	2020-05-07	61	282	339	13348.94	69672.05	65144.25	4527.8
SO57116	2019-11-17	1	281	1	202.33	202.33	204.63	-2.3
SO63216	2020-02-18	49	292	206	14388.44	45559.17	40690.33	4868.84
SO50662	2019-06-02	24	288	69	11585.03	33980.44	30313.0	3667.44
SO53555	2019-09-20	2	296	2	936.41	936.41	1063.18	-126.77
SO45814	2018-04-29	9	272	27	11603.13	33406.63	31088.3	2318.33
SO57127	2019-11-19	17	296	42	9016.92	25600.72	26357.66	-756.94
SO49868	2019-04-19	7	283	16	1376.85	1516.16	1322.16	194.0
SO63221	2020-02-19	1	283	1	41.99	41.99	26.18	15.81
SO43912	2017-08-29	16	282	32	7450.59	13078.28	13050.22	28.06
SO48037	2018-11-17	12	291	28	8950.79	20859.9	20657.09	202.81
SO67281	2020-04-10	1	285	1	31.58	31.58	23.37	8.21
SO67271	2020-04-06	36	283	121	15269.73	32467.93	34075.8	-1607.87
SO47448	2018-09-27	3	289	3	2112.54	2112.54	1871.58	240.96
SO58901	2019-12-01	2	293	2	1462.83	1462.83	1523.51	-60.68
SO46043	2018-05-09	17	281	39	8127.48	19030.73	18969.87	60.86
SO46671	2018-07-27	48	282	248	14711.69	63097.71	63503.34	-405.63
SO63292	2020-02-28	1	296	1	1466.01	1466.01	1554.95	-88.94
SO46955	2018-08-07	10	291	27	4210.58	9625.01	8485.21	1139.8
SO65314	2020-03-29	2	281	4	1418.98	1502.96	1330.51	172.45
SO48033	2018-11-16	45	284	195	14181.05	47812.43	47907.18	-94.75
SO51131	2019-07-17	60	287	483	20349.18	175753.58	206323.87	-30570.29
SO45809	2018-04-26	20	281	34	17618.21	24087.52	24149.81	-62.29
SO57125	2019-11-19	25	283	203	3062.94	18408.51	18843.08	-434.57
SO65307	2020-03-28	7	287	25	2738.04	6654.72	6925.37	-270.65
SO47724	2018-10-29	47	282	198	14267.26	48566.7	48351.94	214.76
SO58932	2019-12-04	41	284	244	15468.11	72303.87	74454.6	-2150.73
SO47049	2018-08-26	33	283	109	14830.65	46321.77	41148.01	5173.76
SO48351	2018-12-20	27	284	95	10961.63	36324.67	32471.59	3853.08
SO45073	2018-01-30	1	282	1	419.46	419.46	413.15	6.31
SO63151	2020-02-07	4	285	17	1502.96	4718.83	4122.42	596.41
SO49115	2019-02-17	19	283	39	9915.66	20038.31	20143.48	-105.17
SO69517	2020-05-22	5	287	6	2307.4	2909.75	2909.07	0.68
SO58995	2019-12-15	25	287	64	15082.93	35833.97	37662.36	-1828.39
SO48069	2018-11-25	40	283	177	13388.89	66454.88	59288.28	7166.6
SO50238	2019-05-13	2	282	7	45.58	159.53	109.69	49.84
SO63136	2020-02-03	25	284	76	12836.73	37100.38	39175.3	-2074.92
SO49110	2019-02-15	1	285	1	141.62	141.62	104.8	36.82
SO44128	2017-09-27	11	285	23	12304.54	18542.17	17368.71	1173.46
SO46607	2018-07-02	46	291	238	22657.34	121037.09	122878.38	-1841.29
SO48390	2018-12-28	10	293	18	2797.41	4296.18	4365.67	-69.49
SO49088	2019-02-10	6	285	12	2818.74	5637.48	5840.49	-203.01
SO50703	2019-06-14	46	283	213	11830.88	58149.91	58046.06	103.85
SO69493	2020-05-18	6	283	38	1069.29	5311.42	5591.34	-279.92
SO51762	2019-08-14	30	283	79	16468.76	46799.32	49328.39	-2529.07
SO63228	2020-02-20	7	285	25	3023.93	8974.55	9504.96	-530.41
SO65218	2020-03-11	20	284	34	13977.66	24598.26	25353.3	-755.04
SO55241	2019-10-04	36	289	165	14991.92	60644.88	54719.51	5925.37
SO49862	2019-04-18	7	288	13	2470.48	4471.17	4554.56	-83.39
SO50320	2019-05-31	1	281	1	600.26	600.26	605.65	-5.39
SO51800	2019-08-20	9	293	25	1861.62	2675.1	2221.1	454.0
SO67273	2020-04-07	57	282	262	13504.44	54080.35	49181.04	4899.31
SO46942	2018-08-03	17	282	38	3417.14	4364.27	3636.77	727.5
SO58950	2019-12-09	28	283	128	15284.0	71225.57	76541.07	-5315.5
SO43851	2017-08-04	12	281	19	5127.87	6783.79	6723.97	59.82
SO69429	2020-05-07	24	292	58	15437.77	32625.82	34410.84	-1785.02
SO47386	2018-09-10	8	287	11	3540.76	3613.63	3384.52	229.11
SO44796	2017-12-29	8	282	25	4266.34	13673.81	13629.6	44.21
SO69418	2020-05-06	35	281	90	9598.16	24434.98	24400.36	34.62
SO46663	2018-07-24	19	283	49	4055.61	8818.58	9556.75	-738.17
SO46384	2018-06-26	15	285	40	6745.43	16940.14	32204.82	-15264.68
SO49109	2019-02-15	5	282	14	2348.95	6577.06	6813.89	-236.83
SO63287	2020-02-28	4	289	6	533.08	937.74	961.75	-24.01
SO51735	2019-08-08	34	292	183	14526.26	88772.79	99362.59	-10589.8
SO48737	2019-01-06	3	287	8	1124.04	1393.99	1315.09	78.9
SO67291	2020-04-13	5	283	8	670.64	1074.24	962.83	111.41
SO47726	2018-10-29	35	285	126	11712.72	28595.69	25317.81	3277.88
SO57141	2019-11-21	25	283	68	14340.08	43072.53	44904.73	-1832.2
SO45796	2018-04-14	12	281	40	16305.35	59103.18	55394.15	3709.03
SO44768	2017-12-19	26	283	70	9479.77	21596.3	21350.87	245.43
SO44761	2017-12-15	12	285	52	18521.61	82101.8	76444.42	5657.38
SO57082	2019-11-11	20	284	54	8984.9	23983.57	25101.74	-1118.17
SO69406	2020-05-04	44	293	127	19154.79	33171.99	33574.65	-402.66
SO50717	2019-06-18	2	287	4	1778.73	2718.31	2780.8	-62.49
SO59031	2019-12-21	17	289	56	12684.13	46448.59	47621.7	-1173.11
SO53463	2019-09-03	10	291	35	1894.01	2910.7	2336.18	574.52
SO49098	2019-02-12	1	291	1	1242.85	1242.85	1117.86	124.99
SO49082	2019-02-09	2	282	3	636.25	672.24	655.14	17.1
SO47969	2018-11-02	5	290	11	3747.35	8724.16	7827.44	896.72
SO48048	2018-11-18	51	283	189	22531.64	95133.84	95956.93	-823.09
SO48051	2018-11-20	24	285	74	11512.39	42754.96	38312.98	4441.98
SO57015	2019-11-01	35	283	90	13270.39	33607.8	30230.64	3377.16
SO46025	2018-05-02	4	286	6	1742.55	2646.18	2659.17	-12.99
SO43909	2017-08-29	9	289	19	11178.52	25493.26	23506.89	1986.37
SO50754	2019-06-28	6	282	21	2416.49	8256.59	8473.94	-217.35
SO50755	2019-06-29	3	283	5	303.53	671.41	596.1	75.31
SO55251	2019-10-06	30	287	100	12293.58	41875.61	37715.3	4160.31
SO65251	2020-03-19	5	284	17	1393.46	2922.78	2997.97	-75.19
SO46050	2018-05-13	2	288	2	2325.54	2325.54	2347.49	-21.95
SO58957	2019-12-10	30	284	74	14587.4	33361.63	30083.88	3277.75
SO44302	2017-10-17	1	285	1	2146.96	2146.96	2171.29	-24.33
SO44559	2017-11-26	20	281	47	7909.7	17451.43	17467.29	-15.86
SO46675	2018-07-30	16	287	49	2492.46	5755.61	6176.17	-420.56
SO48367	2018-12-24	5	283	5	2489.45	2489.45	2464.81	24.64
SO45067	2018-01-27	6	281	9	2718.8	3091.87	3096.88	-5.01
SO51096	2019-07-05	35	291	171	18698.23	81787.78	86445.71	-4657.93
SO53466	2019-09-03	2	281	2	1182.89	1182.89	1212.28	-29.39
SO47409	2018-09-15	42	283	109	22195.37	61492.38	60837.54	654.84
SO44094	2017-09-15	1	288	2	2039.99	4079.98	3824.31	255.67
SO48044	2018-11-17	2	283	2	217.33	217.33	197.47	19.86
SO46322	2018-06-01	1	289	1	178.58	178.58	176.2	2.38
SO51808	2019-08-20	4	281	5	1758.58	1770.72	2302.35	-531.63
SO65297	2020-03-27	1	295	1	728.91	728.91	755.15	-26.24
SO65305	2020-03-28	3	295	7	125.97	293.93	183.24	110.69
SO51164	2019-07-29	8	293	21	274.79	712.17	495.0	217.17
SO48379	2018-12-27	8	283	23	1421.84	1788.14	1516.75	271.39
SO53568	2019-09-22	9	285	26	1973.03	2615.84	2693.13	-77.29
SO47681	2018-10-07	33	285	120	11574.44	28880.06	25467.08	3412.98
SO47398	2018-09-13	53	291	152	22244.79	60281.19	60128.42	152.77
SO63161	2020-02-08	2	290	5	83.98	209.95	130.89	79.06
SO47055	2018-08-28	43	281	216	11707.68	47402.94	51871.59	-4468.65
SO51092	2019-07-04	49	291	305	15592.17	49721.69	51669.48	-1947.79
SO55282	2019-10-16	51	287	346	19100.08	166854.16	183880.1	-17025.94
SO50742	2019-06-26	3	281	3	573.99	573.99	518.81	55.18
SO45804	2018-04-21	12	289	29	14346.83	40814.76	38252.98	2561.78
SO47442	2018-09-26	2	286	2	245.25	245.25	210.57	34.68
SO46096	2018-05-27	1	288	2	419.46	838.92	826.29	12.63
SO47041	2018-08-25	53	282	223	22429.88	84873.67	86292.52	-1418.85
SO55308	2019-10-24	4	291	7	1502.96	1628.93	1409.04	219.89
SO63197	2020-02-16	3	284	5	249.01	339.59	268.86	70.73
SO46106	2018-05-31	3	281	7	1450.88	2907.46	2505.55	401.91
SO63249	2020-02-22	18	293	35	12946.0	23564.85	24967.22	-1402.37
SO61243	2020-01-24	29	287	114	7577.69	14607.89	15011.99	-404.1
SO49874	2019-04-23	2	283	2	508.39	508.39	470.26	38.13
SO65237	2020-03-16	20	283	80	10539.49	53693.53	57079.32	-3385.79
SO49066	2019-02-06	32	284	96	8369.19	22577.51	22465.62	111.89
SO45779	2018-04-01	14	285	27	9814.23	18031.59	16764.67	1266.92
SO63205	2020-02-17	3	281	12	48.88	162.81	101.51	61.3
SO47385	2018-09-10	4	286	5	2366.75	3147.57	2907.01	240.56
SO69455	2020-05-12	5	291	15	1565.36	2076.5	1773.55	302.95
SO44800	2017-12-31	6	281	10	8977.5	17107.46	15979.53	1127.93
SO47673	2018-10-04	21	291	84	9618.47	30882.19	27645.5	3236.69
SO57114	2019-11-17	1	283	1	202.33	202.33	204.63	-2.3
SO57152	2019-11-23	11	284	16	4551.88	6126.29	5576.07	550.22
SO45268	2018-02-02	2	284	2	838.92	838.92	826.3	12.62
SO47370	2018-09-06	1	283	1	149.03	149.03	110.28	38.75
SO61210	2020-01-14	27	282	114	6526.03	14812.04	15357.34	-545.3
SO44122	2017-09-25	2	285	2	4064.98	4064.98	3810.24	254.74
SO51764	2019-08-14	16	282	52	494.29	1630.36	1295.74	334.62
SO67289	2020-04-12	57	288	232	13630.08	35848.21	32267.75	3580.46
SO53560	2019-09-21	62	283	233	19565.74	56025.16	62944.61	-6919.45
SO53516	2019-09-12	2	295	2	487.95	487.95	575.32	-87.37
SO48793	2019-01-31	1	285	1	209.26	209.26	185.82	23.44
SO47697	2018-10-18	2	272	3	202.92	383.05	282.26	100.79
SO43894	2017-08-24	7	286	27	10151.35	32492.54	30434.99	2057.55
SO45319	2018-02-18	5	288	7	10169.95	14234.93	13342.89	892.04
SO48374	2018-12-25	9	287	24	2976.26	7921.66	8072.86	-151.2
SO49884	2019-04-26	40	281	167	20166.46	98266.38	99992.25	-1725.87
SO58946	2019-12-08	26	287	78	13602.59	40971.25	42395.34	-1424.09
SO46083	2018-05-23	10	283	30	4300.37	12363.66	12257.39	106.27
SO63142	2020-02-05	1	293	1	37.15	37.15	27.49	9.66
SO48789	2019-01-30	6	293	21	2818.74	9865.59	10220.84	-355.25
SO49822	2019-04-01	36	285	119	11887.91	32230.17	28396.47	3833.7
SO51741	2019-08-10	7	283	35	1663.03	2969.55	2994.44	-24.89
SO45061	2018-01-19	11	285	44	16299.65	73261.01	68670.62	4590.39
SO58993	2019-12-15	27	285	43	17338.63	27721.32	28327.7	-606.38
SO49894	2019-04-30	22	283	66	12067.47	40267.18	36080.88	4186.3
SO53503	2019-09-10	6	291	31	1756.09	4246.77	3627.61	619.16
SO51833	2019-08-24	24	282	93	10852.6	30591.22	27400.65	3190.57
SO49108	2019-02-15	3	283	3	1409.37	1409.37	1460.13	-50.76
SO67344	2020-04-29	6	296	12	202.45	362.3	355.79	6.51
SO46028	2018-05-02	29	285	48	15829.55	26270.6	26365.74	-95.14
SO69309	2020-05-01	2	295	6	35.38	81.54	104.67	-23.13
SO46077	2018-05-20	15	286	44	14463.77	37779.33	35162.45	2616.88
SO45552	2018-03-15	17	288	34	6836.7	11136.77	11091.11	45.66
SO47369	2018-09-06	65	287	392	22912.6	141523.24	143959.94	-2436.7
SO63215	2020-02-18	3	282	3	722.13	722.13	645.34	76.79
SO51866	2019-08-31	2	283	4	329.38	977.36	1034.31	-56.95
SO55274	2019-10-14	1	290	1	323.99	323.99	343.65	-19.66
SO48057	2018-11-20	50	293	197	22369.17	86679.36	86949.4	-270.04
SO61256	2020-01-27	2	293	4	83.98	167.96	104.7	63.26
SO67284	2020-04-10	31	283	84	11393.85	31610.77	28473.43	3137.34
SO69447	2020-05-10	36	292	82	11879.41	33789.74	31620.42	2169.32
SO49472	2019-03-08	14	282	31	7665.26	14819.61	13112.69	1706.92
SO67317	2020-04-21	8	296	15	6694.85	12916.78	13365.55	-448.77
SO45812	2018-04-26	9	281	16	3880.91	6858.19	6828.72	29.47
SO47013	2018-08-21	17	291	52	8119.62	21209.66	20520.78	688.88
SO48002	2018-11-09	5	281	16	1097.1	4610.69	4654.03	-43.34
SO44123	2017-09-25	1	281	1	874.79	874.79	884.71	-9.92
SO58968	2019-12-12	9	290	16	7411.98	13938.85	14401.51	-462.66
SO47349	2018-09-01	2	289	2	1561.64	1561.64	1444.52	117.12
SO63279	2020-02-26	18	283	49	10211.22	27078.8	28465.11	-1386.31
SO45531	2018-03-07	6	282	8	3427.42	4266.34	4248.3	18.04
SO55244	2019-10-05	5	296	7	4480.61	5371.43	5564.8	-193.37
SO48396	2018-12-30	27	283	73	14952.09	31548.53	28074.95	3473.58
SO65195	2020-03-08	24	283	90	10485.81	29631.03	26848.1	2782.93
SO53536	2019-09-16	61	291	318	15066.51	43387.53	39026.03	4361.5
SO57183	2019-11-29	1	288	1	1466.01	1466.01	1554.95	-88.94
SO46327	2018-06-03	11	289	23	8024.78	17270.93	31331.55	-14060.62
SO44494	2017-11-05	26	281	52	17165.69	28557.88	28620.92	-63.04
SO50687	2019-06-09	20	284	59	12512.24	37150.2	33324.6	3825.6
SO50665	2019-06-03	2	292	2	214.63	214.63	158.83	55.8
SO48381	2018-12-28	9	289	22	2678.08	3045.55	2633.24	412.31
SO47397	2018-09-13	21	284	58	3483.74	7962.56	7722.06	240.5
SO55245	2019-10-06	27	291	112	14292.93	68250.5	72413.04	-4162.54
SO65245	2020-03-18	30	283	65	15152.27	28094.4	28870.11	-775.71
SO53615	2019-09-28	49	295	181	12663.42	26121.45	29743.12	-3621.67
SO51103	2019-07-08	4	292	10	1075.77	2935.73	2671.35	264.38
SO49865	2019-04-18	49	285	181	14672.79	42619.98	42068.2	551.78
SO51725	2019-08-07	1	283	4	323.99	1295.96	1374.6	-78.64
SO48013	2018-11-13	6	283	12	1249.8	1998.42	1772.43	225.99
SO63121	2020-02-01	2	291	4	83.98	167.96	104.7	63.26
SO46035	2018-05-04	7	288	14	10181.35	12240.54	11457.9	782.64
SO63275	2020-02-26	1	282	1	41.99	41.99	26.18	15.81
SO44789	2017-12-27	2	281	2	776.36	776.36	765.29	11.07
SO45039	2018-01-01	19	288	47	10094.72	27722.11	27803.24	-81.13
SO49863	2019-04-18	1	293	2	53.99	107.98	74.24	33.74
SO48014	2018-11-13	1	293	1	209.26	209.26	185.82	23.44
SO47685	2018-10-08	36	281	167	12378.41	51208.9	45491.94	5716.96
SO46653	2018-07-20	6	292	8	1667.3	2476.96	2287.01	189.95
SO46349	2018-06-11	6	285	10	2614.5	4292.34	4229.34	63.0
SO65295	2020-03-27	1	295	1	728.91	728.91	755.15	-26.24
SO53584	2019-09-24	10	289	36	1676.01	3864.57	3308.88	555.69
SO46669	2018-07-27	57	288	265	18878.92	72634.5	75834.72	-3200.22
SO55320	2019-10-28	3	295	4	631.39	833.72	823.59	10.13
SO46627	2018-07-09	20	292	66	5877.76	13112.74	11323.57	1789.17
SO46372	2018-06-21	15	282	52	11283.74	40638.63	82022.38	-41383.75
SO45324	2018-02-19	1	282	2	419.46	838.92	826.29	12.63
SO46946	2018-08-05	1	291	1	196.33	196.33	145.28	51.05
SO65210	2020-03-10	22	283	112	3161.72	14534.37	14950.82	-416.45
SO51734	2019-08-08	54	292	354	19112.77	85699.6	90476.75	-4777.15
SO67320	2020-04-22	26	281	92	15360.67	52815.08	55378.98	-2563.9
SO45290	2018-02-09	9	282	21	12431.64	33469.83	31148.15	2321.68
SO48376	2018-12-26	1	282	3	469.79	1409.37	1460.12	-50.75
SO53501	2019-09-10	4	285	5	1104.22	1130.94	1124.85	6.09
SO49886	2019-04-27	1	285	2	1466.01	2932.02	3037.57	-105.55
SO63264	2020-02-24	4	283	7	2029.58	3856.83	4056.97	-200.14
SO57098	2019-11-15	14	283	44	2700.66	4678.05	3940.39	737.66
SO63133	2020-02-03	36	286	146	13428.48	32837.33	33569.61	-732.28
SO49538	2019-03-29	33	281	105	9977.9	23382.97	23535.72	-152.75
SO47430	2018-09-19	1	281	1	469.79	469.79	486.71	-16.92
SO48388	2018-12-28	2	288	8	45.58	182.32	125.37	56.95
SO46673	2018-07-28	36	285	162	10075.8	28122.0	24765.94	3356.06
SO48356	2018-12-21	23	282	70	12690.11	27258.31	23817.35	3440.96
SO45054	2018-01-16	8	288	24	4266.34	13254.35	13216.45	37.9
SO47031	2018-08-24	37	291	156	10551.86	33233.61	29579.36	3654.25
SO58983	2019-12-14	1	291	1	818.7	818.7	747.2	71.5
SO46340	2018-06-07	4	283	7	1718.9	3887.94	3899.27	-11.33
SO61179	2020-01-03	20	291	68	10372.55	39248.14	41377.23	-2129.09
SO58937	2019-12-06	7	282	11	4515.99	4557.35	4732.52	-175.17
SO63119	2020-02-01	1	284	1	218.45	218.45	199.38	19.07
SO51139	2019-07-18	9	287	21	3380.86	8109.25	8171.68	-62.43
SO51157	2019-07-26	57	283	329	13493.31	50775.52	45788.6	4986.92
SO50686	2019-06-09	4	290	13	1297.83	1502.94	1293.86	209.08
SO44496	2017-11-05	19	288	33	18193.04	29797.13	29953.27	-156.14
SO49861	2019-04-17	4	282	8	910.95	1328.89	1122.69	206.2
SO57184	2019-11-29	5	288	19	2879.95	7472.81	6626.38	846.43
SO46633	2018-07-13	41	281	236	12671.43	66143.27	59719.93	6423.34
SO69476	2020-05-15	12	283	59	1177.17	3515.03	2768.54	746.49
SO48052	2018-11-20	27	283	74	12432.96	24644.21	21560.1	3084.11
SO45287	2018-02-08	1	283	1	419.46	419.46	413.15	6.31
SO51761	2019-08-14	58	295	346	20049.15	105952.64	119657.63	-13704.99
SO57147	2019-11-22	9	296	26	3015.83	5078.55	4495.1	583.45
SO49848	2019-04-12	27	291	130	14341.71	59277.12	52999.98	6277.14
SO61246	2020-01-24	3	292	4	1376.97	1409.36	1509.3	-99.94
SO51697	2019-08-02	1	295	1	356.9	356.9	360.94	-4.04
SO65315	2020-03-29	28	281	67	10580.51	23773.94	21483.78	2290.16
SO45329	2018-02-22	20	285	52	20178.16	61800.89	57599.39	4201.5
SO69432	2020-05-08	4	291	16	184.48	649.1	554.3	94.8
SO44771	2017-12-21	32	286	85	20990.75	69681.68	70019.04	-337.36
SO65166	2020-03-04	1	291	1	26.72	26.72	19.78	6.94
SO45334	2018-02-23	10	283	37	12269.86	51137.32	47935.55	3201.77
SO63212	2020-02-18	8	282	48	3326.98	23989.68	21673.95	2315.73
SO61194	2020-01-08	3	288	7	2197.45	3040.66	3087.24	-46.58
SO44491	2017-11-04	4	281	6	2133.17	3427.42	3422.01	5.41
SO63254	2020-02-23	9	290	25	5251.64	11546.57	12178.49	-631.92
SO50220	2019-05-08	7	292	29	2886.28	12417.16	12804.32	-387.16
SO49466	2019-03-07	3	292	8	2481.71	8629.01	7756.34	872.67
SO55303	2019-10-23	25	281	102	13007.13	63020.59	66853.02	-3832.43
SO49888	2019-04-27	52	283	206	22585.63	96605.72	97272.62	-666.9
SO45794	2018-04-12	9	288	33	3880.91	11295.73	11246.4	49.33
SO65225	2020-03-13	1	293	1	672.29	672.29	713.08	-40.79
SO45557	2018-03-18	15	282	31	13295.72	32554.91	32746.84	-191.93
SO49503	2019-03-18	11	287	18	2301.31	3372.38	2847.54	524.84
SO48092	2018-11-30	3	285	5	162.1	235.27	174.1	61.17
SO58921	2019-12-03	24	283	63	15007.56	34434.86	36316.48	-1881.62
SO43673	2017-07-10	11	281	20	2590.29	3746.23	3669.41	76.82
SO67314	2020-04-20	56	283	243	15215.93	42024.35	37634.28	4390.07
SO50196	2019-05-02	2	283	5	208.97	598.07	458.05	140.02
SO63129	2020-02-02	3	292	4	1460.97	1502.96	1330.51	172.45
SO50673	2019-06-05	26	292	78	14216.29	41158.72	40936.98	221.74
SO69392	2020-05-01	4	288	6	318.27	387.9	335.44	52.46
SO57159	2019-11-24	3	291	7	2635.14	5872.63	5972.6	-99.97
SO48302	2018-12-05	1	287	1	324.45	324.45	300.12	24.33
SO63230	2020-02-20	4	295	8	5020.23	10040.46	10401.93	-361.47
SO51101	2019-07-08	43	283	156	16768.65	35028.44	36560.56	-1532.12
SO51692	2019-08-02	1	291	1	672.29	672.29	713.08	-40.79
SO43675	2017-07-14	9	283	22	2841.49	5716.33	5664.16	52.17
SO44524	2017-11-13	3	281	5	4070.68	4082.08	3820.43	261.65
SO49145	2019-02-24	5	285	10	2527.29	5054.58	4517.26	537.32
SO63148	2020-02-07	27	293	62	13529.88	22161.71	22545.83	-384.12
SO45303	2018-02-15	5	286	16	6124.0	20405.64	19147.38	1258.26
SO46994	2018-08-16	35	281	122	15035.33	54864.27	48565.13	6299.14
SO65159	2020-03-03	17	289	39	5485.01	13573.57	12075.43	1498.14
SO69520	2020-05-23	42	291	146	13196.74	50008.09	46222.04	3786.05
SO49137	2019-02-21	4	282	5	1879.16	2348.95	2433.54	-84.59
SO44287	2017-10-08	5	283	11	8135.66	16292.02	15265.24	1026.78
SO51757	2019-08-13	5	291	10	405.32	756.33	612.05	144.28
SO48005	2018-11-11	56	292	251	19723.99	87999.85	87253.17	746.68
SO46037	2018-05-05	2	288	3	598.04	1017.5	1002.49	15.01
SO69388	2020-05-01	3	295	3	1255.69	1255.69	1350.0	-94.31
SO43688	2017-07-23	11	281	20	6540.3	12718.08	12733.56	-15.48
SO45286	2018-02-08	5	282	7	3007.96	3846.88	3835.15	11.73
SO44745	2017-12-07	15	288	43	10031.1	26171.91	24159.06	2012.85
SO47035	2018-08-24	3	282	7	1088.61	2647.01	2654.11	-7.1
SO48295	2018-12-04	56	282	372	19326.52	79722.18	79852.52	-130.34
SO65188	2020-03-07	21	291	50	8629.59	15054.74	13430.95	1623.79
SO67292	2020-04-13	25	281	94	16746.48	52032.85	54931.36	-2898.51
SO57034	2019-11-05	41	281	180	17179.11	76571.05	80661.05	-4090.0
SO50663	2019-06-02	56	282	393	20452.25	88147.67	88416.31	-268.64
SO46991	2018-08-16	17	285	54	4582.97	9803.56	8473.32	1330.24
SO45523	2018-03-05	1	282	2	714.7	1429.4	1234.06	195.34
SO48772	2019-01-22	6	288	9	2818.74	4228.11	4380.36	-152.25
SO44777	2017-12-23	20	282	77	20169.51	99501.86	92489.24	7012.62
SO61192	2020-01-06	1	283	2	1391.99	2783.98	2531.24	252.74
SO48764	2019-01-19	28	291	108	10901.08	41665.5	41904.32	-238.82
SO67348	2020-04-30	30	285	81	12684.8	27319.3	24533.08	2786.22
SO65278	2020-03-24	16	289	42	12148.83	37965.72	39727.52	-1761.8
SO48730	2019-01-01	22	285	79	10832.88	35989.59	32297.2	3692.39
SO45306	2018-02-16	7	284	13	3375.84	6112.41	6090.62	21.79
SO47970	2018-11-02	26	282	134	13015.53	72244.34	64822.25	7422.09
SO69506	2020-05-20	15	292	25	4504.15	7099.56	7280.94	-181.38
SO45802	2018-04-17	16	285	51	6417.67	22648.04	22619.1	28.94
SO47965	2018-11-02	33	285	89	20129.21	49578.64	49867.54	-288.9
SO59019	2019-12-19	7	289	18	1610.34	2077.06	1738.66	338.4
SO51167	2019-07-30	2	282	2	1037.15	1037.15	946.58	90.57
SO69404	2020-05-03	7	292	35	1644.05	5463.91	4682.88	781.03
SO46094	2018-05-27	17	283	72	15830.2	74719.66	69804.49	4915.17
SO49539	2019-03-29	5	289	7	3747.35	3792.93	3392.16	400.77
SO48090	2018-11-30	12	285	34	3334.74	7540.83	7530.66	10.17
SO58972	2019-12-13	50	291	242	16422.14	80840.97	72766.88	8074.09
SO45574	2018-03-27	9	285	19	11105.3	28078.51	26041.86	2036.65
SO48771	2019-01-22	39	288	128	11798.22	30663.1	30603.83	59.27
SO49853	2019-04-14	4	281	18	1297.83	4030.23	3552.49	477.74
SO63231	2020-02-20	1	288	1	1466.01	1466.01	1554.95	-88.94
SO46957	2018-08-07	56	289	356	16457.84	75467.96	66177.35	9290.61
SO65172	2020-03-04	30	296	74	12860.56	21439.33	21714.31	-274.98
